# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.662,1.325,2.65,3.87,-34,-1.797144096,423.281,2.249221039,8.560489673
3.663,1.335,2.67,3.89,-39,-1.994806163,420.205,2.21020042,18.05990588
3.664,1.325,2.65,3.85,-43,-2.14275087,417.039,2.169738665,142.6570831
3.665,1.33,2.66,3.86,-47,-2.282210621,413.605,2.125503096,-24.63187402
3.666,1.345,2.69,3.89,-48,-2.315811262,409.643,2.074007402,-16.08741898
3.667,1.265,2.53,3.68,-45,-2.213508577,407.972,2.052139255,-22.8048303
3.668,1.335,2.67,3.85,-48,-2.315811262,408.282,2.056202942,-14.83003317
3.669,1.415,2.83,4.05,-53,-2.476638538,408.707,2.061769113,-9.76210766
3.67,1.295,2.59,3.74,-47,-2.282210621,406.958,2.038825467,-15.36659052
3.671,1.295,2.59,3.74,-44,-2.17839078,408.045,2.053096466,-29.84971838
3.672,1.265,2.53,3.67,-39,-1.994806163,409.256,2.068950734,49.49789224
3.673,1.23,2.46,3.58,-33,-1.755832221,411.486,2.098023279,10.46199166
3.674,1.215,2.43,3.55,-29,-1.584379948,413.5,2.124144744,6.576938745
3.675,1.22,2.44,3.57,-25,-1.40260658,415.625,2.151568293,4.766598799
3.676,1.25,2.5,3.64,-17,-1.005998115,417.865,2.180324556,3.099649189
3.677,1.265,2.53,3.68,-8,-0.5027319434,419.767,2.204620947,2.162303177
3.678,1.26,2.52,3.67,1,0.06672794636,421.278,2.223844315,1.602219699
3.679,1.26,2.52,3.67,5,0.3426315003,423.349,2.250080446,1.415506264
3.68,1.285,2.57,3.76,9,0.6333153419,425.312,2.274830184,1.292920167
3.681,1.275,2.55,3.75,10,0.7083572001,426.58,2.290756628,1.250369348
3.682,1.375,2.75,4.01,9,0.6333153419,427.48,2.302032186,1.366107407
3.683,1.39,2.78,4.04,10,0.7083572001,428.875,2.319462473,1.334293464
3.684,1.39,2.78,4.04,11,0.7843638115,430.24,2.336463122,1.294528689
3.685,1.385,2.77,4.04,12,0.8613433732,430.576,2.340639624,1.26171813
3.686,1.385,2.77,4.03,14,1.018254135,430.868,2.344266558,1.198505635
3.687,1.37,2.74,4,15,1.09820173,432.24,2.361275336,1.156244115
3.688,1.38,2.76,4.02,16,1.179155063,432.306,2.362092181,1.135193259
3.689,1.38,2.76,4.03,17,1.261122332,432.404,2.363304842,1.111899842
3.69,1.38,2.76,4.04,19,1.428131464,432.538,2.364962525,1.065093565
3.691,1.38,2.76,4.02,18,1.344111733,432.512,2.364640925,1.083922378
3.692,1.36,2.72,3.98,17,1.261122332,432.991,2.370562684,1.09591002
3.693,1.38,2.76,4.02,16,1.179155063,432.892,2.369339309,1.132874842
3.694,1.325,2.65,3.89,15,1.09820173,433.656,2.378773065,1.118788668
3.695,1.34,2.68,3.92,14,1.018254135,433.515,2.377033269,1.154541437
3.696,1.31,2.62,3.84,14,1.018254135,434.254,2.386145489,1.127952186
3.697,1.295,2.59,3.8,14,1.018254135,434.661,2.391157372,1.114561851
3.698,1.285,2.57,3.77,14,1.018254135,435.281,2.398783169,1.103294949
3.699,1.275,2.55,3.75,14,1.018254135,435.232,2.398180881,1.097635395
3.7,1.25,2.5,3.69,14,1.018254135,435.001,2.395340607,1.080971902
3.701,1.225,2.45,3.62,13,0.9393040821,435.102,2.396582644,1.085168741
3.702,1.12,2.24,3.34,13,0.9393040821,436.149,2.409441057,0.9973885325
3.703,1.19,2.38,3.53,10,0.7083572001,436.019,2.407846181,1.132788707
